Модель;Цена, долл;Пробег, мили;Год;Объём двигателя, л;Мощность, л.с;Топливо
Renault Sandero II;66811,68;6957,72;2015;1,6;82;Бензин
Renault Sandero I;85349,29;4906,11;2013;1,4;75;Бензин
Renault Sandero II Stepway;7467,99;8979,62;2017;1,6;102;Бензин
Renault Sandero II Stepway;67122,44;7730,80;2016;1,6;113;Бензин
Renault Sandero I;23617,15;4400,61;2014;1,4;75;Бензин
Renault Sandero I Stepway;62771,91;6184,64;2012;1,6;84;Бензин
Renault Sandero II;39564,33;7611,86;2017;1,6;113;Бензин
Renault Sandero II Stepway;16981,98;8503,88;2016;1,6;102;Бензин
Renault Sandero I Stepway;51584,84;5946,77;2013;1,6;103;Бензин
Renault Sandero I Stepway;31696,71;6660,38;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11489,15;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11715,13;2021;1,6;113;Бензин
Renault Sandero II Stepway;35425,73;8789,32;2018;1,6;102;Бензин
Renault Sandero I;47855,81;4031,91;2013;1,4;75;Бензин
Renault Sandero I;76445,00;5554,28;2014;1,6;84;Бензин
Renault Sandero II;40397,76;7492,93;2016;1,6;82;Бензин
Renault Sandero II Stepway;56589,19;6898,25;2015;1,6;102;Бензин
Renault Sandero I;34182,72;4507,65;2012;1,4;75;Бензин
Renault Sandero I;74580,48;5221,26;2013;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;9322,56;10050,04;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;66,50;13237,50;2020;1,6;113;Бензин
Renault Sandero II;41378,50;7255,06;2016;1,6;113;Бензин
Renault Sandero II;23220,01;7718,90;2018;1,6;82;Бензин
Renault Sandero I;70851,46;4400,61;2013;1,4;75;Бензин
Renault Sandero II Stepway;73026,72;7136,12;2016;1,6;113;Бензин
Renault Sandero I Stepway;96333,13;5887,30;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг;13725,30;9990,57;2018;1,6;113;Бензин
Renault Sandero II Stepway;56246,12;7076,65;2016;1,6;102;Бензин
Renault Sandero II;64014,92;5887,30;2014;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;435,05;10704,18;2020;1,6;113;Бензин
Renault Sandero I;75823,49;5804,04;2011;1,6;84;Бензин
Renault Sandero II Stepway;38704,79;8051,92;2015;1,6;82;Бензин
Renault Sandero II Stepway;33561,22;7790,26;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9288,85;2021;1,6;113;Бензин
Renault Sandero I;27781,23;4579,01;2011;1,6;103;Бензин
Renault Sandero II Рестайлинг;0,00;8596,03;2021;1,6;82;Бензин
Renault Sandero II;47855,81;7730,80;2017;1,6;82;Бензин
Renault Sandero II;47855,81;7730,80;2017;1,6;82;Бензин
Renault Sandero II;50963,33;8301,69;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9407,79;2021;1,6;113;Бензин
Renault Sandero I;87010,57;4162,74;2011;1,6;84;Бензин
Renault Sandero I;62150,40;4995,28;2011;1,6;84;Бензин
Renault Sandero I;85349,29;4906,11;2013;1,4;75;Бензин
Renault Sandero I;19283,41;5708,90;2011;1,6;103;Бензин
Renault Sandero I;92837,79;4697,95;2011;1,6;84;Бензин
Renault Sandero II;51584,84;5827,83;2015;1,6;82;Бензин
Renault Sandero II Stepway;25696,71;8313,58;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10668,50;2021;1,6;113;Бензин
Renault Sandero II Stepway;55257,92;7076,65;2015;1,6;82;Бензин
Renault Sandero I;52827,84;4995,28;2011;1,6;103;Бензин
Renault Sandero II Stepway;50963,33;7017,18;2016;1,6;82;Бензин
Renault Sandero I;93225,61;3128,00;2011;1,4;75;Бензин
Renault Sandero I;54070,85;5708,90;2013;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8932,04;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8884,47;2021;1,6;82;Бензин
Renault Sandero II;44748,29;7837,84;2015;1,6;102;Бензин
Renault Sandero II Stepway;41103,79;8313,58;2016;1,6;113;Бензин
Renault Sandero II Stepway;85767,56;7076,65;2015;1,6;102;Бензин
Renault Sandero II Stepway;54070,85;7362,10;2017;1,6;102;Бензин
Renault Sandero II Stepway;75201,99;7302,63;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;35612,18;8801,22;2018;1,6;102;Бензин
Renault Sandero II;80174,02;6303,57;2015;1,6;82;Бензин
Renault Sandero I;55938,47;5114,22;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9514,83;2021;1,6;113;Бензин
Renault Sandero I Stepway;46188,94;5768,36;2013;1,6;84;Бензин
