;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;72 500 км;Porsche 911  VI (997) Carrera S;3 000 000 ₽;2005;механика;кабриолет;задний;серый;3.8 л/355л.с./Бензин
1;1 500 км;Porsche 911  VIII (992) Carrera 4S;15 500 000 ₽;2019;робот;кабриолет;полный;серый;3.0 л/450л.с./Бензин
2;25 000 км;Porsche 911  VII (991) Рестайлинг Turbo S;11 200 000 ₽;2016;робот;купе;полный;золотистый;3.8 л/580л.с./Бензин
3;48 000 км;Porsche 911  VII (991) Carrera 4S;5 650 000 ₽;2015;робот;купе;полный;серый;3.8 л/400л.с./Бензин
4;18 754 км;Porsche 911  VII (991) Рестайлинг Carrera S;7 350 000 ₽;2017;робот;купе;задний;жёлтый;3.0 л/420л.с./Бензин
5;33 200 км;Porsche 911  VI (997) Turbo;5 200 000 ₽;2007;автомат;кабриолет;полный;чёрный;3.6 л/480л.с./Бензин
6;5 590 км;Porsche 911  VIII (992) Carrera S;11 400 000 ₽;2019;робот;кабриолет;задний;синий;3.0 л/450л.с./Бензин
7;23 957 км;Porsche 911  VII (991) Рестайлинг Carrera;6 200 000 ₽;2016;робот;купе;задний;серебристый;3.0 л/370л.с./Бензин
8;54 100 км;Porsche 911  VII (991) Carrera 4;4 500 000 ₽;2013;робот;купе;полный;белый;3.4 л/350л.с./Бензин
9;89 865 км;Porsche 911  VI (997) Carrera 4S;2 900 000 ₽;2007;автомат;купе;полный;чёрный;3.8 л/355л.с./Бензин
10;32 300 км;Porsche 911  VII (991) Carrera;4 990 000 ₽;2013;робот;купе;задний;жёлтый;3.4 л/350л.с./Бензин
11;8 000 км;Porsche 911  VII (991) Рестайлинг Carrera 4;7 500 000 ₽;2017;робот;купе;полный;синий;3.0 л/370л.с./Бензин
12;43 000 км;Porsche 911  VII (991) Carrera 4S;5 592 787 ₽;2013;робот;купе;полный;белый;3.8 л/400л.с./Бензин
13;69 821 км;Porsche 911  VI (997) Carrera S;3 499 999 ₽;2007;автомат;кабриолет;задний;чёрный;3.8 л/355л.с./Бензин
14;13 000 км;Porsche 911  VIII (992) Carrera 4S;11 580 000 ₽;2019;робот;купе;полный;жёлтый;3.0 л/450л.с./Бензин
15;37 830 км;Porsche 911  VII (991) Turbo S;8 100 000 ₽;2014;робот;купе;полный;серебристый;3.8 л/560л.с./Бензин
