;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;107 500 км;Renault Sandero II;585 000 ₽;2015;механика;хэтчбек 5 дв.;передний;золотистый;1.6 л/82л.с./Бензин
1;137 327 км;Renault Sandero I;412 502 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.4 л/75л.с./Бензин
2;12 016 км;Renault Sandero II Stepway;755 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/102л.с./Бензин
3;108 000 км;Renault Sandero II Stepway;650 000 ₽;2016;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/113л.с./Бензин
4;38 000 км;Renault Sandero I;370 000 ₽;2014;механика;хэтчбек 5 дв.;передний;красный;1.4 л/75л.с./Бензин
5;101 000 км;Renault Sandero I Stepway;520 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
6;63 659 км;Renault Sandero II;640 000 ₽;2017;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/113л.с./Бензин
7;27 324 км;Renault Sandero II Stepway;715 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/102л.с./Бензин
8;83 000 км;Renault Sandero I Stepway;500 000 ₽;2013;автомат;хэтчбек 5 дв.;передний;коричневый;1.6 л/103л.с./Бензин
9;51 000 км;Renault Sandero I Stepway;560 000 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
10;Новый;Renault Sandero II Рестайлинг Stepway;966 000 ₽;2021;вариатор;хэтчбек 5 дв.;передний;Stepway Life City;1.6 л/113л.с./Бензин
11;Новый;Renault Sandero II Рестайлинг Stepway;985 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Drive;1.6 л/113л.с./Бензин
12;57 000 км;Renault Sandero II Stepway;739 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/102л.с./Бензин
13;77 000 км;Renault Sandero I;339 000 ₽;2013;механика;хэтчбек 5 дв.;передний;красный;1.4 л/75л.с./Бензин
14;123 000 км;Renault Sandero I;467 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/84л.с./Бензин
15;65 000 км;Renault Sandero II;630 000 ₽;2016;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
16;91 052 км;Renault Sandero II Stepway;580 000 ₽;2015;механика;хэтчбек 5 дв.;передний;золотистый;1.6 л/102л.с./Бензин
17;55 000 км;Renault Sandero I;379 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.4 л/75л.с./Бензин
18;120 000 км;Renault Sandero I;439 000 ₽;2013;механика;хэтчбек 5 дв.;передний;белый;1.6 л/103л.с./Бензин
19;15 000 км;Renault Sandero II Рестайлинг Stepway;845 000 ₽;2019;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/113л.с./Бензин
20;107 км;Renault Sandero II Рестайлинг Stepway;1 113 000 ₽;2020;механика;хэтчбек 5 дв.;передний;серый;1.6 л/113л.с./Бензин
21;66 578 км;Renault Sandero II;610 000 ₽;2016;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/113л.с./Бензин
22;37 361 км;Renault Sandero II;649 000 ₽;2018;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
23;114 000 км;Renault Sandero I;370 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серебристый;1.4 л/75л.с./Бензин
24;117 500 км;Renault Sandero II Stepway;600 000 ₽;2016;механика;хэтчбек 5 дв.;передний;синий;1.6 л/113л.с./Бензин
25;155 000 км;Renault Sandero I Stepway;495 000 ₽;2012;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/84л.с./Бензин
26;22 084 км;Renault Sandero II Рестайлинг;840 000 ₽;2018;механика;хэтчбек 5 дв.;передний;серый;1.6 л/113л.с./Бензин
27;90 500 км;Renault Sandero II Stepway;595 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;голубой;1.6 л/102л.с./Бензин
28;103 000 км;Renault Sandero II;495 000 ₽;2014;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/102л.с./Бензин
29;700 км;Renault Sandero II Рестайлинг Stepway;900 000 ₽;2020;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/113л.с./Бензин
30;122 000 км;Renault Sandero I;488 000 ₽;2011;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
31;62 276 км;Renault Sandero II Stepway;677 000 ₽;2015;механика;хэтчбек 5 дв.;передний;золотистый;1.6 л/82л.с./Бензин
32;54 000 км;Renault Sandero II Stepway;655 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/102л.с./Бензин
33;Новый;Renault Sandero II Рестайлинг Stepway;от 781 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/113л.с./Бензин
34;44 700 км;Renault Sandero I;385 000 ₽;2011;механика;хэтчбек 5 дв.;передний;белый;1.6 л/103л.с./Бензин
35;Новый;Renault Sandero II Рестайлинг;от 722 748 ₽;2021;механика;хэтчбек 5 дв.;передний;Life;1.6 л/82л.с./Бензин
36;77 000 км;Renault Sandero II;650 000 ₽;2017;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/82л.с./Бензин
37;77 000 км;Renault Sandero II;650 000 ₽;2017;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/82л.с./Бензин
38;82 000 км;Renault Sandero II;698 000 ₽;2015;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/82л.с./Бензин
39;Новый;Renault Sandero II Рестайлинг Stepway;от 791 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/113л.с./Бензин
40;140 000 км;Renault Sandero I;350 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/84л.с./Бензин
41;100 000 км;Renault Sandero I;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
42;137 327 км;Renault Sandero I;412 502 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.4 л/75л.с./Бензин
43;31 027 км;Renault Sandero I;480 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;бежевый;1.6 л/103л.с./Бензин
44;149 376 км;Renault Sandero I;395 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
45;83 000 км;Renault Sandero II;490 000 ₽;2015;робот;хэтчбек 5 дв.;передний;серый;1.6 л/82л.с./Бензин
46;41 346 км;Renault Sandero II Stepway;699 000 ₽;2017;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
47;Новый;Renault Sandero II Рестайлинг;897 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Life;1.6 л/113л.с./Бензин
48;88 910 км;Renault Sandero II Stepway;595 000 ₽;2015;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
49;85 000 км;Renault Sandero I;420 000 ₽;2011;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/103л.с./Бензин
50;82 000 км;Renault Sandero II Stepway;590 000 ₽;2016;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
51;150 000 км;Renault Sandero I;263 000 ₽;2011;механика;хэтчбек 5 дв.;передний;серый;1.4 л/75л.с./Бензин
52;87 000 км;Renault Sandero I;480 000 ₽;2013;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/84л.с./Бензин
53;Новый;Renault Sandero II Рестайлинг Stepway;от 751 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
54;Новый;Renault Sandero II Рестайлинг Stepway;от 747 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
55;72 000 км;Renault Sandero II;659 000 ₽;2015;механика;хэтчбек 5 дв.;передний;синий;1.6 л/102л.с./Бензин
56;66 136 км;Renault Sandero II Stepway;699 000 ₽;2016;механика;хэтчбек 5 дв.;передний;красный;1.6 л/113л.с./Бензин
57;138 000 км;Renault Sandero II Stepway;595 000 ₽;2015;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/102л.с./Бензин
58;87 000 км;Renault Sandero II Stepway;619 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/102л.с./Бензин
59;121 000 км;Renault Sandero II Stepway;614 000 ₽;2017;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/113л.с./Бензин
60;57 300 км;Renault Sandero II Рестайлинг Stepway;740 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;золотистый;1.6 л/102л.с./Бензин
61;129 000 км;Renault Sandero II;530 000 ₽;2015;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
62;90 005 км;Renault Sandero I;430 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
63;Новый;Renault Sandero II Рестайлинг Stepway;от 800 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/113л.с./Бензин
64;74 318 км;Renault Sandero I Stepway;485 000 ₽;2013;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/84л.с./Бензин
65;136 500 км;Renault Sandero I;372 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
66;21 000 км;Renault Sandero II;700 000 ₽;2016;робот;хэтчбек 5 дв.;передний;красный;1.6 л/82л.с./Бензин
67;Новый;Renault Sandero II Рестайлинг Stepway;от 746 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
68;13 000 км;Renault Sandero II Рестайлинг Stepway;834 000 ₽;2020;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
69;82 500 км;Renault Sandero I Stepway;495 000 ₽;2012;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/84л.с./Бензин
70;164 350 км;Renault Sandero I Stepway;450 000 ₽;2012;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
71;40 700 км;Renault Sandero II Stepway;690 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/102л.с./Бензин
72;15 200 км;Renault Sandero II Рестайлинг;640 000 ₽;2018;механика;хэтчбек 5 дв.;передний;белый;1.6 л/82л.с./Бензин
73;59 000 км;Renault Sandero II;615 000 ₽;2017;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/113л.с./Бензин
74;86 436 км;Renault Sandero II Stepway;630 000 ₽;2015;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/102л.с./Бензин
75;82 257 км;Renault Sandero II Рестайлинг Stepway;805 000 ₽;2019;автомат;хэтчбек 5 дв.;передний;белый;1.6 л/102л.с./Бензин
76;65 677 км;Renault Sandero I Stepway;555 000 ₽;2014;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
77;26 000 км;Renault Sandero II Рестайлинг Stepway;799 000 ₽;2018;механика;хэтчбек 5 дв.;передний;серый;1.6 л/113л.с./Бензин
78;65 043 км;Renault Sandero II Рестайлинг;699 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;коричневый;1.6 л/102л.с./Бензин
79;12 016 км;Renault Sandero II Stepway;755 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;чёрный;1.6 л/102л.с./Бензин
80;74 500 км;Renault Sandero II;645 000 ₽;2015;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
81;35 000 км;Renault Sandero II Рестайлинг;650 000 ₽;2019;механика;хэтчбек 5 дв.;передний;серый;1.6 л/82л.с./Бензин
82;127 000 км;Renault Sandero I;370 000 ₽;2013;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/103л.с./Бензин
83;100 000 км;Renault Sandero I;427 000 ₽;2012;механика;хэтчбек 5 дв.;передний;синий;1.6 л/84л.с./Бензин
84;75 000 км;Renault Sandero II Stepway;677 000 ₽;2015;механика;хэтчбек 5 дв.;передний;красный;1.6 л/82л.с./Бензин
85;20 500 км;Renault Sandero II Stepway;699 000 ₽;2017;автомат;хэтчбек 5 дв.;передний;бежевый;1.6 л/102л.с./Бензин
86;25 000 км;Renault Sandero II Рестайлинг Stepway;945 000 ₽;2019;автомат;хэтчбек 5 дв.;передний;коричневый;1.6 л/102л.с./Бензин
87;126 250 км;Renault Sandero I Stepway;450 000 ₽;2013;автомат;хэтчбек 5 дв.;передний;бежевый;1.6 л/103л.с./Бензин
88;83 421 км;Renault Sandero I;470 000 ₽;2012;автомат;хэтчбек 5 дв.;передний;серый;1.6 л/103л.с./Бензин
89;110 000 км;Renault Sandero I;395 000 ₽;2012;автомат;хэтчбек 5 дв.;передний;серебристый;1.6 л/103л.с./Бензин
90;96 709 км;Renault Sandero II Рестайлинг Stepway;710 000 ₽;2019;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
91;16 673 км;Renault Sandero II Рестайлинг Stepway;800 000 ₽;2019;механика;хэтчбек 5 дв.;передний;коричневый;1.6 л/82л.с./Бензин
92;109 420 км;Renault Sandero I;380 000 ₽;2012;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
93;29 000 км;Renault Sandero II;735 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;зелёный;1.6 л/102л.с./Бензин
94;66 000 км;Renault Sandero I Stepway;450 000 ₽;2014;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
